,symbol,stock,side,qty,cost basis,amount,fee,created date,date,current_status,batch_number,batch_dateopen,batch_dateclosed,batch_lot,qty_buys,qty_sells,qty_net,amount_buys,amount_sells,amount_net,CB_batch,CB_effective,SB_avg,p&l_batch,p&l_ticker,p&l ticker,p&l_line
0,ZNGA,Zynga,referral,1.0,3.69,3.69,0.0,12/31/1969,12/31/1969,Active,1.0,12/31/1969,n/a,1.0,1.0,0.0,1.0,3.69,0.0,3.69,3.69,3.69,0.0,0.0,0.0,,
1,AMAT,Applied Materials,buy,1.0,41.85,41.85,0.0,5/4/2017,5/5/2017,Active,1.0,5/5/2017,n/a,1.0,1.0,0.0,1.0,41.85,0.0,41.85,41.85,41.85,0.0,0.0,0.0,,
2,DRRX,DURECT,buy,15.0,0.99,14.92,0.0,5/8/2017,5/8/2017,Active,1.0,5/8/2017,n/a,1.0,15.0,0.0,15.0,14.92,0.0,14.92,0.99,0.99,0.0,0.0,0.0,,
3,AAOI,Applied Optoelectronics,buy,1.0,57.93,57.93,0.0,5/8/2017,5/8/2017,Active,1.0,5/8/2017,n/a,1.0,1.0,0.0,1.0,57.93,0.0,57.93,57.93,57.93,0.0,0.0,0.0,,
4,DRRX,DURECT,sell,15.0,1.03,15.45,0.02,5/11/2017,5/11/2017,Inactive,1.0,5/8/2017,5/11/2017,1.0,15.0,15.0,0.0,14.92,15.45,-0.5299999999999994,0.99,0.99,1.03,0.6000000000000005,,0.6000000000000005,0.6000000000000005
5,AAOI,Applied Optoelectronics,sell,1.0,61.74,61.74,0.02,6/30/2017,6/30/2017,Inactive,1.0,5/8/2017,6/30/2017,1.0,1.0,1.0,0.0,57.93,61.74,-3.8100000000000023,57.93,57.93,61.74,3.8100000000000023,,3.8100000000000023,3.8100000000000023
6,AMAT,Applied Materials,sell,1.0,41.81,41.81,0.02,6/30/2017,6/30/2017,Inactive,1.0,5/5/2017,6/30/2017,1.0,1.0,1.0,0.0,41.85,41.81,0.03999999999999915,41.85,41.85,41.81,-0.03999999999999915,,-0.03999999999999915,-0.03999999999999915
7,TDOC,Teladoc Health,buy,1.0,66.55,66.55,0.0,7/25/2018,7/26/2018,Active,1.0,7/26/2018,n/a,1.0,1.0,0.0,1.0,66.55,0.0,66.55,66.55,66.55,0.0,0.0,0.0,,
8,PYPL,PayPal,buy,1.0,88.51,88.51,0.0,7/25/2018,7/26/2018,Active,1.0,7/26/2018,n/a,1.0,1.0,0.0,1.0,88.51,0.0,88.51,88.51,88.51,0.0,0.0,0.0,,
9,IQ,iQIYI,buy,2.0,32.9,65.8,0.0,7/25/2018,7/26/2018,Active,1.0,7/26/2018,n/a,1.0,2.0,0.0,2.0,65.8,0.0,65.8,32.9,32.9,0.0,0.0,0.0,,
