,symbol,current_status,batch_number,batch_lot,qty_buys,qty_sells,qty_net,amount_buys,amount_sells,amount_net,CB_batch,CB_effective,SB_avg,p&l_batch,p&l_ticker
0,AAPL,Active,1,5,2.828363,0,2.828363,470.02,20.0,470.02,166.18261978748842,166.18093222121772,0,0,0
1,AMTB,Active,2,1,4.0,0,4.0,114.84,0,114.84,28.71,28.71,0,0,-23.226291260000025
2,AMZN,Active,1,9,0.303211,0.067299,0.235912,920.0,280.0,690.0,2964.5675465614313,2924.8194241920714,3417.5817882880874,9.37684687440031,9.37684687440031
3,APA,Active,2,1,3.0,0,3.0,122.19,0,122.19,40.73,40.73,0,0,-3.8727438600000035
4,COST,Active,1,4,0.557666,0,0.557666,300.0,25.0,300.0,537.9565578500392,537.9564111851897,0,0,0
5,CRWD,Active,2,4,1.201784,0,1.201784,250.0,0,250.0,208.02391021181842,208.02407088128982,0,0,-73.56225946000002
6,CVX,Active,1,4,5.0,1.0,4.0,840.79,326.4,682.71,169.09,170.6775,158.08,-6.349999999999994,-6.349999999999994
7,GOOG,Active,1,2,0.164124,0,0.164124,450.0,50.0,450.0,2741.8256250761624,2741.829348541347,0,0,0
8,GRPN,Active,1,1,1.0,0,1.0,3.83,3.83,3.83,3.83,3.83,0,0,0
9,HES,Active,2,2,4.0,2.0,2.0,439.57,228.06,211.51,111.715,105.755,114.03,11.920000000000016,13.886429940000014
10,ISRG,Active,1,4,0.424003,0.205321,0.21868200000000002,209.0,150.0,159.0,492.91919830755916,727.0831618514555,243.52,-51.20689279570635,-51.20689279570635
11,LPLA,Active,2,1,1.0,0,1.0,179.35,0,179.35,179.35,179.35,0,0,20.810000000000002
12,MA,Active,1,4,0.324461,0,0.324461,120.08,50.0,120.08,370.0890646333458,370.09070427570646,0,0,0
13,ME,Active,1,1,3.0,0,3.0,30.57,30.57,30.57,10.19,10.19,0,0,0
14,MKC,Active,1,6,1.9999999999999998,1.0,0.9999999999999998,185.24,191.62,83.32,93.78572965057214,83.32000000000001,101.92,10.466007310572124,10.466007310572124
15,MSFT,Active,1,4,1.26382,0.296757,0.967063,400.37,200.0,300.37,311.52031030311366,310.6002401084521,336.98,0.8897485226599923,0.8897485226599923
16,NGAC,Active,1,1,5.0,0,5.0,50.35,50.35,50.35,10.07,10.07,0,0,0
17,OXY,Active,2,4,9.0,3.0,6.0,556.98,195.92,361.06000000000006,63.36600000000001,60.17666666666668,65.30666666666666,19.135999999999996,20.455999999999996
18,PFE,Active,1,1,3.0,1.0,2.0,149.97,199.95,99.99000000000001,49.99,49.995000000000005,49.98,-0.010000000000005116,-0.010000000000005116
19,QDEL,Active,1,4,0.8749899999999999,0.290298,0.584692,120.0,87.0,83.0,132.03471518220422,141.9550806236446,127.46,-5.799507330686649,-5.799507330686649
20,TGT,Active,1,9,2.323621,0,2.323621,487.25,189.0,487.25,209.6936033716342,209.69426597538927,0,0,0
21,TSLA,Active,5,5,0.6806940000000001,0.167069,0.5136250000000001,650.0,120.0,530.0,954.9082350365949,1031.8812363105376,718.2616600326811,-39.53630663932887,7.97398201067114
22,TTD,Active,3,2,7.0,0,7.0,352.62,0,352.62,50.37428571428571,50.37428571428571,0,0,-406.92888015000005
23,TWI,Active,1,2,11.0,0,11.0,190.10000000000002,86.9,190.10000000000002,17.281818181818178,17.281818181818185,0,0,0
24,V,Active,1,4,1.240185,0.347825,0.89236,290.96,315.26,215.95999999999998,234.61001650560198,242.00995114079515,215.63,-6.601724241061008,-6.601724241061008
25,VGAC,Active,1,1,3.0,0,3.0,29.94,29.94,29.94,9.98,9.98,0,0,0
26,VRSN,Active,1,4,0.620458,0,0.620458,150.0,75.0,150.0,241.75635345180498,241.75689571252207,0,0,0
27,WBD,Active,1,1,1.0,0,1.0,23.55,23.55,23.55,23.55,23.55,0,0,0
28,ZNGA,Active,1,1,1.0,0,1.0,3.69,3.69,3.69,3.69,3.69,0,0,0
29,AAOI,Inactive,1,1,1.0,1.0,0.0,57.93,119.67,-3.8100000000000023,57.93,57.93,61.74,3.8100000000000023,3.8100000000000023
30,ABC,Inactive,1,1,1.0,1.0,0.0,165.24,324.03,6.450000000000017,165.24,165.24,158.79,-6.450000000000017,-6.450000000000017
31,ABCB,Inactive,1,4,1.958812,1.958812,0.0,103.0,111.04,16.959999999999994,52.584538771459435,52.582892079484914,43.92,-16.972202519999996,-16.972202519999996
32,ABNB,Inactive,1,1,1.0,1.0,5.551115123125783e-17,148.04,306.28999999999996,-10.210000000000008,148.04,148.55160154653115,158.25389537,10.21389537000001,10.21389537000001
33,ACLS,Inactive,2,1,3.0,3.0,0.0,170.88,161.09,9.789999999999992,56.96,56.96,53.70000000000001,-9.779999999999994,-19.54
34,ACN,Inactive,1,6,0.643451,0.643451,0.0,245.0,245.55,24.44999999999999,380.7587853620556,381.27639605818865,342.7617381276896,-24.449238040000036,-24.449238040000036
35,ADBE,Inactive,1,3,0.341823,0.341823,0.0,209.0,379.23,-20.22999999999999,611.4270207095485,611.4275516861065,670.61,20.23010353,20.23010353
36,ADSK,Inactive,1,5,0.49682,0.49682,0.0,150.0,186.3,-11.300000000000011,301.92022426633395,301.92021255182965,324.66,11.29757537999998,11.29757537999998
37,AFRM,Inactive,1,5,1.29347,1.2934700000000001,-1.6653345369377348e-16,160.0,190.25,19.75,123.70024000556643,144.63302984502576,108.42509430446783,-19.75794271000001,-19.75794271000001
38,ALRM,Inactive,1,1,0.596801,0.596801,0.0,50.0,98.83,1.1700000000000017,83.78,83.78,81.82,-1.1697299600000048,-1.1697299600000048
39,AMAT,Inactive,1,1,1.0,1.0,0.0,41.85,83.66,0.03999999999999915,41.85,41.85,41.81,-0.03999999999999915,-0.03999999999999915
40,AMD,Inactive,1,9,3.223499,3.2234990000000003,-2.220446049250313e-16,394.0,411.15999999999997,7.840000000000003,120.50513287792906,101.69953553717276,119.7975432937935,-7.837272319999997,-7.837272319999997
41,AMPH,Inactive,1,2,3.065308,3.065308,-8.326672684688674e-17,130.0,220.36,9.639999999999999,42.410391627855994,184.9696821216392,39.26519190893704,-9.641005859999998,-9.641005859999998
42,APPH,Inactive,1,6,22.586224,22.586224,0.0,203.9,215.79000000000002,89.61,9.027968903080037,9.027626751598673,5.06,-89.62143447000003,-89.62143447000003
43,ATVI,Inactive,1,2,2.0,2.0,0.0,190.63,211.85,75.13,95.315,124.61586448656101,57.74805018,-75.13389964000001,-75.13389964000001
44,AXON,Inactive,2,4,1.0763850000000001,1.076385,2.220446049250313e-16,155.0,134.83,20.169999999999987,143.9996360874594,144.00052025994415,125.26000000000002,-20.171063189999987,-14.318836839999989
45,BARK,Inactive,1,2,2.0,2.0,0.0,20.06,26.950000000000003,3.139999999999997,10.03,10.03,8.46,-3.139999999999997,-3.139999999999997
46,BASE,Inactive,1,1,1.471343,1.471343,0.0,50.0,82.6,17.4,33.98,33.98,22.16,-17.391274259999996,-17.391274259999996
47,BILL,Inactive,1,1,0.299222,0.299222,0.0,75.0,138.29,11.71,250.65,250.65,211.52,-11.708556859999998,-11.708556859999998
48,BKNG,Inactive,1,3,0.055143,0.055143,0.0,125.0,168.09,-18.090000000000003,2266.834736049907,2266.83350561268,2594.89,18.089951419999974,18.089951419999974
49,BLIN,Inactive,2,2,18.319910999999998,18.319910999999998,-1.7763568394002505e-15,100.0,68.77,31.23,5.459369643771741,5.447721399922927,3.7518841996557737,-31.280981370000006,-18.63441578
50,BLK,Inactive,2,1,0.05469,0.05469,0.0,50.0,39.92,10.079999999999998,914.24,914.24,729.93,-10.079913900000003,-10.229905320000002
51,BLND,Inactive,1,4,6.57438,6.57438,0.0,109.65,83.5,56.150000000000006,16.680025576556268,16.678378797696514,8.14,-56.14537334999999,-56.14537334999999
52,BX,Inactive,1,3,2.295785,2.295785,-1.1102230246251565e-16,315.0,292.5,37.5,137.20774048092483,162.59457584494984,120.87705388353004,-37.49174533,-37.49174533
53,CFLT,Inactive,1,8,4.050764,4.050764,2.220446049250313e-16,304.0,250.88,78.12,72.61989461109297,91.87760232867959,55.763259024717314,-78.11847206999997,-78.11847206999997
54,CHKP,Inactive,1,1,1.0,1.0,0.0,142.6,278.71000000000004,6.489999999999981,142.6,142.6,136.11,-6.489999999999981,-6.489999999999981
55,CIEN,Inactive,1,1,2.0,2.0,0.0,103.82,209.01999999999998,-1.3800000000000097,51.91,51.91,52.6,1.3800000000000097,1.3800000000000097
56,CMG,Inactive,1,1,0.031562,0.031562,0.0,50.0,105.22999999999999,-5.229999999999997,1584.18,1584.18,1749.89,5.230139020000001,5.230139020000001
57,COIN,Inactive,3,3,0.12663000000000002,0.12663,2.7755575615628914e-17,40.0,33.56,6.439999999999998,315.87677098633804,315.8809128958382,265.02,-6.439992909999988,-6.709495119999987
58,CRM,Inactive,2,3,0.48766600000000004,0.487666,5.551115123125783e-17,125.0,96.8,28.200000000000003,256.3220151497131,256.32297515102545,198.5,-28.19783083999998,-3.757770669999985
59,CRMT,Inactive,1,1,0.122906,0.122906,0.0,20.0,32.019999999999996,7.98,162.73,162.73,97.8,-7.98028658,-7.98028658
60,CRNC,Inactive,2,1,1.153749,1.153749,0.0,50.0,41.44,8.560000000000002,43.34,43.34,35.92,-8.560817580000002,-3.661032520000008
61,CRTD,Inactive,1,1,11.0,11.0,0.0,65.23,122.43,8.030000000000001,5.93,5.93,5.2,-8.029999999999994,-8.029999999999994
62,CUEN,Inactive,1,1,12.106537,12.106537,0.0,100.0,181.12,18.879999999999995,8.26,8.26,6.7,-18.886197719999995,-18.886197719999995
63,DAL,Inactive,1,1,2.426889,2.426889,0.0,100.0,193.65,6.349999999999994,41.21,41.21,38.59,-6.358449179999994,-6.358449179999994
64,DDOG,Inactive,1,1,0.215796,0.215796,0.0,30.0,59.69,0.3099999999999987,139.02,139.02,137.58,-0.3107462399999995,-0.3107462399999995
65,DIS,Inactive,1,2,0.390032,0.390032,0.0,70.0,92.03999999999999,12.96,179.46994282520407,179.47245354227346,146.24,-12.960741059999991,-12.960741059999991
66,DKS,Inactive,1,1,1.0,1.0,0.0,124.07,252.09,-3.950000000000017,124.07,124.07,128.02,3.950000000000017,3.950000000000017
67,DLO,Inactive,1,1,0.719919,0.719919,0.0,25.0,45.78,4.219999999999999,34.73,34.73,28.859999999999996,-4.225924529999998,-4.225924529999998
68,DMTK,Inactive,1,2,0.605275,0.605275,0.0,21.0,12.66,9.34,34.694880376688275,34.69497335921688,19.26,-9.342347219999995,-9.342347219999995
69,DOCS,Inactive,1,3,1.663979,1.6639789999999999,1.1102230246251565e-16,110.0,135.29,24.71,66.10863828209371,76.81241639791465,51.256015983374795,-24.714451600000004,-24.714451600000004
70,DOCU,Inactive,1,5,0.601784,0.601784,0.0,164.0,110.36,78.64,272.52588825891013,272.523031519615,141.84,-78.64467657999997,-78.64467657999997
71,DRRX,Inactive,1,1,15.0,15.0,0.0,14.92,30.369999999999997,-0.5299999999999994,0.99,0.99,1.03,0.6000000000000005,0.6000000000000005
72,DVN,Inactive,1,1,1.632399,1.632399,-1.1102230246251565e-16,100.0,199.26999999999998,0.7299999999999969,61.26,68.58012109443564,60.8139704631037,-0.7280981699999898,-0.7280981699999898
73,EGP,Inactive,1,2,0.16269899999999998,0.162699,-2.7755575615628914e-17,32.0,48.69,0.3099999999999987,196.68373241384396,196.68221685443675,194.78,-0.3097353599999976,-0.3097353599999976
74,ENB,Inactive,1,1,1.237404,1.237404,0.0,50.0,95.7,4.299999999999997,40.41,40.41,36.93,-4.306165919999996,-4.306165919999996
75,EOG,Inactive,2,1,2.0,2.0,0.0,227.64,247.78,-20.140000000000015,113.82,113.82,123.89,20.140000000000015,14.03228627
76,EPAM,Inactive,2,3,0.147045,0.147045,0.0,101.0,42.75,58.25,686.8690205039273,686.8645652691353,290.73,-58.25026227,-47.62000487
77,ESTC,Inactive,1,3,2.1793810000000002,2.1793810000000002,2.220446049250313e-16,275.0,227.26,97.74000000000001,126.18232966149559,630.3900636076277,81.3353255442715,-97.73870867999993,-97.73870867999993
78,ETSY,Inactive,1,6,1.0843729999999998,1.084373,-2.220446049250313e-16,234.0,181.61,102.39,215.79349376091074,235.01512836077544,121.36512654778383,-102.39557184000006,-102.39557184000006
79,EW,Inactive,1,1,1.0,1.0,0.0,120.91,238.41,3.4099999999999966,120.91,120.91,117.5,-3.4099999999999966,-3.4099999999999966
80,F,Inactive,2,4,4.897489,4.897489,0.0,100.0,80.62,19.379999999999995,20.419830298751055,20.41862676975895,16.46,-19.393225330000003,-16.119025010000005
