,index,symbol,current_status,batch_number,batch_dateopen,batch_dateclosed,batch_lot,qty_buys,qty_sells,qty_net,amount_buys,amount_sells,amount_net,CB_batch,CB_effective,SB_avg,p&l_batch,p&l ticker
0,AAOI_1,AAOI,Inactive,1,5/8/2017,6/30/2017,1,1.0,1.0,0.0,57.93,61.74,-3.8100000000000023,57.93,57.93,61.74,3.8100000000000023,3.8100000000000023
1,ABC_1,ABC,Inactive,1,4/11/2022,4/22/2022,1,1.0,1.0,0.0,165.24,158.79,6.450000000000017,165.24,165.24,158.79,-6.450000000000017,-6.450000000000017
2,ABCB_1,ABCB,Inactive,1,12/17/2021,3/31/2022,4,1.958812,1.958812,0.0,103.0,86.04,16.959999999999994,52.584538771459435,52.582892079484914,43.92,-16.972202519999996,-16.972202519999996
3,ABNB_1,ABNB,Inactive,1,7/7/2021,10/27/2021,1,1.0,1.0,5.551115123125783e-17,148.04,158.25,-10.210000000000008,148.04,148.55160154653115,158.25389537,10.21389537000001,10.21389537000001
4,ACLS_1,ACLS,Inactive,1,3/28/2022,4/5/2022,1,1.0,1.0,0.0,79.45,69.69,9.760000000000005,79.45,79.45,69.69,-9.760000000000005,-9.760000000000005
5,ACLS_2,ACLS,Inactive,2,5/10/2022,5/10/2022,1,3.0,3.0,0.0,170.88,161.09,9.789999999999992,56.96,56.96,53.70000000000001,-9.779999999999994,-19.54
6,ACN_1,ACN,Inactive,1,12/6/2021,4/12/2022,6,0.643451,0.643451,0.0,245.0,220.55,24.44999999999999,380.7587853620556,381.27639605818865,342.7617381276896,-24.449238040000036,-24.449238040000036
7,ADBE_1,ADBE,Inactive,1,10/14/2021,11/18/2021,3,0.341823,0.341823,0.0,209.0,229.23,-20.22999999999999,611.4270207095485,611.4275516861065,670.61,20.23010353,20.23010353
8,ADSK_1,ADSK,Inactive,1,7/21/2021,11/5/2021,5,0.49682,0.49682,0.0,150.0,161.3,-11.300000000000011,301.92022426633395,301.92021255182965,324.66,11.29757537999998,11.29757537999998
9,AFRM_1,AFRM,Inactive,1,11/22/2021,12/17/2021,5,1.29347,1.2934700000000001,-1.6653345369377348e-16,160.0,140.25,19.75,123.70024000556643,144.63302984502576,108.42509430446783,-19.75794271000001,-19.75794271000001
10,ALRM_1,ALRM,Inactive,1,6/23/2021,10/26/2021,1,0.596801,0.596801,0.0,50.0,48.83,1.1700000000000017,83.78,83.78,81.82,-1.1697299600000048,-1.1697299600000048
11,AMAT_1,AMAT,Inactive,1,5/5/2017,6/30/2017,1,1.0,1.0,0.0,41.85,41.81,0.03999999999999915,41.85,41.85,41.81,-0.03999999999999915,-0.03999999999999915
12,AMD_1,AMD,Inactive,1,6/17/2021,4/12/2022,9,3.223499,3.2234990000000003,-2.220446049250313e-16,394.0,386.15999999999997,7.840000000000003,120.50513287792906,101.69953553717276,119.7975432937935,-7.837272319999997,-7.837272319999997
