symbol,stock,side,qty,cost basis,amount,fee,created date,transaction date
ZNGA,Zynga,referral,1,3.69,3.69,0,12/31/1969,12/31/1969
AMAT,Applied Materials,buy,1,41.85,41.85,0,5/4/2017,5/5/2017
DRRX,DURECT,buy,15,0.99,14.92,0,5/8/2017,5/8/2017
AAOI,Applied Optoelectronics,buy,1,57.93,57.93,0,5/8/2017,5/8/2017
DRRX,DURECT,sell,15,1.03,15.45,0.02,5/11/2017,5/11/2017
AAOI,Applied Optoelectronics,sell,1,61.74,61.74,0.02,6/30/2017,6/30/2017
AMAT,Applied Materials,sell,1,41.81,41.81,0.02,6/30/2017,6/30/2017
TDOC,Teladoc Health,buy,1,66.55,66.55,0,7/25/2018,7/26/2018
PYPL,PayPal,buy,1,88.51,88.51,0,7/25/2018,7/26/2018
IQ,iQIYI,buy,2,32.9,65.8,0,7/25/2018,7/26/2018
MITK,Mitek,buy,5,9.45,47.25,0,7/25/2018,7/26/2018
SQ,Block,buy,1,71.02,71.02,0,7/25/2018,7/26/2018
GRPN,Groupon,referral,1,3.83,3.83,0,11/2/2019,11/2/2019
STMP,Stamps.com,buy,1,219.4,219.4,0,2/18/2021,2/18/2021
RKT,Rocket Companies,buy,2,38.89,77.78,0,3/3/2021,3/3/2021
RKT,Rocket Companies,buy,1,33.23,33.23,0,3/3/2021,3/3/2021
CRNC,Cerence,buy,1,112.3,112.3,0,3/11/2021,3/11/2021
TGT,Target,buy,1,189,189,0,3/22/2021,3/22/2021
MELI,MercadoLibre,buy,0.175968,1420.71,250,0,3/24/2021,3/24/2021
MELI,MercadoLibre,buy,0.175155,1427.31,250,0,3/24/2021,3/24/2021
MELI,MercadoLibre,buy,0.353976,1412.53,500,0,3/24/2021,3/24/2021
TER,Teradyne,buy,1,126.37,126.37,0,4/1/2021,4/1/2021
ZG,Zillow Class A,buy,1,136.85,136.85,0,4/28/2021,4/28/2021
LITE,Lumentum,buy,1,82.88,82.88,0,5/4/2021,5/4/2021
LITE,Lumentum,buy,2,82,164,0,5/4/2021,5/4/2021
CRNC,Cerence,buy,1,90.7,90.7,0,5/4/2021,5/4/2021
NET,Cloudflare,buy,1,79.5,79.5,0,5/4/2021,5/4/2021
MO,Altria,buy,3,50.68,152.04,0,5/10/2021,5/10/2021
TTD,Trade Desk,buy,1,509.79,509.79,0,5/14/2021,5/17/2021
MKC,McCormick,buy,1,89.7,89.7,0,5/19/2021,5/19/2021
APPH,AppHarvest,buy,7,14.5,101.5,0,5/20/2021,5/20/2021
CIEN,Ciena,buy,2,51.91,103.82,0,5/20/2021,5/20/2021
SHOP,Shopify,buy,0.081426,1228.11,100,0,5/21/2021,5/21/2021
NVR,NVR,buy,0.021422,4668.1,100,0,5/21/2021,5/21/2021
SE,Sea Limited,buy,1,246.06,246.06,0,5/21/2021,5/21/2021
LOW,Lowe's,buy,1,191.3,191.3,0,5/25/2021,5/25/2021
AMZN,Amazon,buy,0.015283,3271.61,50,0,5/25/2021,5/25/2021
ZI,ZoomInfo Technologies,buy,1,43.25,43.25,0,5/25/2021,5/25/2021
RBLX,Roblox,buy,1,89,89,0,5/25/2021,5/25/2021
PAC,Grupo Aeroportuario del Pacific,buy,1,111.11,111.11,0,5/25/2021,5/25/2021
SNOW,Snowflake,buy,0.216689,230.75,50,0,5/25/2021,5/25/2021
ETSY,Etsy,buy,0.295083,169.44,50,0,5/25/2021,5/25/2021
AMZN,Amazon,buy,0.046278,3241.28,150,0,5/25/2021,5/25/2021
ATVI,Activision Blizzard,buy,1,96.35,96.35,0,5/25/2021,5/25/2021
LCID,Churchill Capital,buy,2,20.66,41.31,0,5/26/2021,5/26/2021
LCID,Churchill Capital,buy,1,20.5,20.5,0,5/26/2021,5/26/2021
VGAC,VG,buy,3,9.98,29.94,0,5/26/2021,5/26/2021
CRM,Salesforce,buy,0.4247,235.46,100,0,6/1/2021,6/1/2021
LCID,Churchill Capital,buy,1,21.58,21.58,0,6/1/2021,6/1/2021
CRWD,CrowdStrike Holdings,buy,0.452474,221.01,100,0,6/1/2021,6/2/2021
ATVI,Activision Blizzard,buy,1,94.28,94.28,0,5/25/2021,6/3/2021
PAC,Grupo Aeroportuario del Pacific,buy,0.017393,108.66,1.89,0,6/7/2021,6/8/2021
TSM,Taiwan Semiconductor Manufacturing,buy,0.008625,115.94,1,0,6/8/2021,6/8/2021
TSM,Taiwan Semiconductor Manufacturing,buy,0.431387,115.91,50,0,6/8/2021,6/8/2021
TGT,Target,buy,0.002933,231.84,0.68,0,6/10/2021,6/11/2021
NGAC,NextGen,buy,5,10.07,50.35,0,6/13/2021,6/14/2021
RBLX,Roblox,buy,1,82.21,82.21,0,6/16/2021,6/16/2021
RBLX,Roblox,buy,1,81.5,81.5,0,6/16/2021,6/16/2021
TSM,Taiwan Semiconductor Manufacturing,buy,0.21208,117.88,25,0,6/17/2021,6/17/2021
LULU,Lululemon,buy,0.074516,335.5,25,0,6/17/2021,6/17/2021
TDOC,Teladoc Health,buy,0.165947,150.65,25,0,6/17/2021,6/17/2021
TER,Teradyne,buy,0.195434,127.92,25,0,6/17/2021,6/17/2021
F,Ford Motor,buy,1,15.2,15.2,0,6/17/2021,6/17/2021
F,Ford Motor,buy,1,15.2,15.2,0,6/17/2021,6/17/2021
AMD,AMD,buy,0.304154,82.2,25,0,6/17/2021,6/17/2021
TER,Teradyne,buy,0.000797,125.47,0.1,0,6/18/2021,6/21/2021
SPLK,Splunk,buy,0.18055,138.47,25,0,6/23/2021,6/23/2021
